# generated by scripts/columns-vs-json.py from crates/acquisition-store/src/{schema.sql,lib.rs,snapshot.rs} and ../item-facts/data/field-census.csv
kind,table,name,sql_type,source,json_path,census_items,census_share,depth,exposed_in,note
json-only,items,grantedSkills[],,items.json,grantedSkills[],4,0.000,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,grantedSkills[].displayMode,,items.json,grantedSkills[].displayMode,4,0.000,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,grantedSkills[].icon,,items.json,grantedSkills[].icon,4,0.000,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,grantedSkills[].name,,items.json,grantedSkills[].name,4,0.000,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,grantedSkills[].values,,items.json,grantedSkills[].values,4,0.000,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,grantedSkills[].values[],,items.json,grantedSkills[].values[],4,0.000,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,grantedSkills[].values[][],,items.json,grantedSkills[].values[][],4,0.000,4,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,iconStackLevel,,items.json,iconStackLevel,2,0.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,iconTierText,,items.json,iconTierText,16,0.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,isRelic,,items.json,isRelic,7,0.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,mercenarySkills,,items.json,mercenarySkills,2,0.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,mercenarySkills[],,items.json,mercenarySkills[],2,0.000,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,mercenarySkills[].hash,,items.json,mercenarySkills[].hash,2,0.000,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,mercenarySkills[].icon,,items.json,mercenarySkills[].icon,2,0.000,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,mercenarySkills[].name,,items.json,mercenarySkills[].name,2,0.000,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,mercenarySkills[].supports,,items.json,mercenarySkills[].supports,2,0.000,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,mercenarySkills[].supports[],,items.json,mercenarySkills[].supports[],2,0.000,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,mercenarySkills[].supports[].hash,,items.json,mercenarySkills[].supports[].hash,2,0.000,4,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,mercenarySkills[].supports[].name,,items.json,mercenarySkills[].supports[].name,2,0.000,4,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,mercenarySkills[].supports[].tier,,items.json,mercenarySkills[].supports[].tier,2,0.000,4,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,properties[].suffix,,items.json,properties[].suffix,1,0.000,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,rewards,,items.json,rewards,1,0.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,rewards[],,items.json,rewards[],1,0.000,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,rewards[].label,,items.json,rewards[].label,1,0.000,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,rewards[].rewards,,items.json,rewards[].rewards,1,0.000,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,rewards[].rewards.alt,,items.json,rewards[].rewards.alt,1,0.000,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,rewards[].rewards.blessed,,items.json,rewards[].rewards.blessed,1,0.000,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,runeMods,,items.json,runeMods,1,0.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,runeMods[],,items.json,runeMods[],1,0.000,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,scourgeMods,,items.json,scourgeMods,12,0.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,scourgeMods[],,items.json,scourgeMods[],12,0.000,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,scourged,,items.json,scourged,14,0.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,scourged.level,,items.json,scourged.level,6,0.000,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,scourged.progress,,items.json,scourged.progress,6,0.000,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,scourged.tier,,items.json,scourged.tier,14,0.000,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,scourged.total,,items.json,scourged.total,6,0.000,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,split,,items.json,split,4,0.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,vestigial,,items.json,vestigial,1,0.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,weaponRequirements,,items.json,weaponRequirements,6,0.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,weaponRequirements[],,items.json,weaponRequirements[],6,0.000,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,weaponRequirements[].displayMode,,items.json,weaponRequirements[].displayMode,6,0.000,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,weaponRequirements[].name,,items.json,weaponRequirements[].name,6,0.000,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,weaponRequirements[].type,,items.json,weaponRequirements[].type,6,0.000,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,weaponRequirements[].values,,items.json,weaponRequirements[].values,6,0.000,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,weaponRequirements[].values[],,items.json,weaponRequirements[].values[],6,0.000,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,weaponRequirements[].values[][],,items.json,weaponRequirements[].values[][],6,0.000,4,ItemRow.json+get_item,reachable only by parsing the whole body
