id,text,class,evidence_source,evidence_locator,note
pseudo.pseudo_map_conversion_conqueror_map,#% chance for dropped Maps to convert to Conqueror Maps,field,search/trade-query/data/grammar.json,property_type_to_field.table.82,"the renderer reads a property of this type, not the item's lines"
pseudo.pseudo_map_conversion_unique_map,#% chance for dropped Maps to convert to Unique Maps,field,search/trade-query/data/grammar.json,property_type_to_field.table.83,"the renderer reads a property of this type, not the item's lines"
pseudo.pseudo_map_conversion_scarab,#% chance for dropped Maps to convert to Scarabs,field,search/trade-query/data/grammar.json,property_type_to_field.table.84,"the renderer reads a property of this type, not the item's lines"
pseudo.pseudo_map_conversion_maven_invitation,#% chance for dropped Maps to convert to Maven Invitations,field,search/trade-query/data/grammar.json,property_type_to_field.table.85,"the renderer reads a property of this type, not the item's lines"
pseudo.pseudo_map_conversion_memory_line,#% chance for dropped Maps to convert to Atlas Memories,field,search/trade-query/data/grammar.json,property_type_to_field.table.86,"the renderer reads a property of this type, not the item's lines"
pseudo.pseudo_map_quality_rarity,Quality (Rarity): #%,field,search/item-facts/data/properties-census.csv,properties-census.csv row 84 (Quality (Quantity)),family: a type-6 `properties` entry of this name; this name is absent from the corpus
pseudo.pseudo_map_quality_pack_size,Quality (Pack Size): #%,field,search/item-facts/data/properties-census.csv,properties-census.csv row 84 (Quality (Quantity)),family: a type-6 `properties` entry of this name; this name is absent from the corpus
pseudo.pseudo_map_quality_cards,Quality (Divination Cards): #%,field,search/item-facts/data/properties-census.csv,properties-census.csv row 84 (Quality (Quantity)),family: a type-6 `properties` entry of this name; this name is absent from the corpus
pseudo.pseudo_map_quality_scarabs,Quality (Scarabs): #%,field,search/item-facts/data/properties-census.csv,properties-census.csv row 84 (Quality (Quantity)),family: a type-6 `properties` entry of this name; this name is absent from the corpus
pseudo.pseudo_map_quality_currency,Quality (Currency): #%,field,search/item-facts/data/properties-census.csv,properties-census.csv row 84 (Quality (Quantity)),family: a type-6 `properties` entry of this name; this name is absent from the corpus
pseudo.pseudo_map_more_map_drops,More Maps: #%,field,search/trade-query/data/grammar.json,property_type_to_field.table.88,"the renderer reads a property of this type, not the item's lines"
pseudo.pseudo_map_more_scarab_drops,More Scarabs: #%,field,search/trade-query/data/grammar.json,property_type_to_field.table.89,"the renderer reads a property of this type, not the item's lines"
pseudo.pseudo_map_more_currency_drops,More Currency: #%,field,search/trade-query/data/grammar.json,property_type_to_field.table.90,"the renderer reads a property of this type, not the item's lines"
pseudo.pseudo_map_more_card_drops,More Divination Cards: #%,field,search/trade-query/data/grammar.json,property_type_to_field.table.91,"the renderer reads a property of this type, not the item's lines"
pseudo.pseudo_temple_apex,Has Room: Apex of Atzoatl,field,search/item-facts/data/properties-census.csv,properties-census.csv row 5 (Apex of Atzoatl),3 private items carry the room as a property value
pseudo.pseudo_temple_poison_room_1,Has Room: Poison Garden (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_sacrifice_room_1,Has Room: Sacrificial Chamber (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_storm_room_1,Has Room: Tempest Generator (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 10 (Tempest Generator (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_trap_room_1,Has Room: Trap Workshop (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_cartography_room_1,Has Room: Surveyor's Study (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 19 (Surveyor's Study (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_queens_chambers_1,Has Room: Royal Meeting Room (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 34 (Royal Meeting Room (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_chests_1,Has Room: Storage Room (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 25 (Storage Room (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_corruption_room_1,Has Room: Corruption Chamber (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_explosives_room_1,Has Room: Explosives Room (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_armour_room_1,Has Room: Armourer's Workshop (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_weapon_room_1,Has Room: Sparring Room (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 30 (Sparring Room (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_breeding_room_1,Has Room: Guardhouse (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_breach_room_1,Has Room: Splinter Research Lab (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_gem_room_1,Has Room: Gemcutter's Workshop (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_currency_vault_1,Has Room: Vault (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_trinket_room_1,Has Room: Jeweller's Workshop (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 15 (Jeweller's Workshop (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_workshop_1,Has Room: Workshop (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_empowering_room_1,Has Room: Shrine of Empowerment (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_healing_room_1,Has Room: Pools of Restoration (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_boss_minions_1,Has Room: Hatchery (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 31 (Hatchery (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_boss_fire_1,Has Room: Flame Workshop (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_boss_lightning_1,Has Room: Lightning Workshop (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 28 (Lightning Workshop (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_poison_room_2,Has Room: Cultivar Chamber (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 16 (Cultivar Chamber (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_sacrifice_room_2,Has Room: Hall of Offerings (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_storm_room_2,Has Room: Hurricane Engine (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_trap_room_2,Has Room: Temple Defense Workshop (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 18 (Temple Defense Workshop (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_cartography_room_2,Has Room: Office of Cartography (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 33 (Office of Cartography (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_queens_chambers_2,Has Room: Hall of Lords (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_chests_2,Has Room: Warehouses (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_corruption_room_2,Has Room: Catalyst of Corruption (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 7 (Catalyst of Corruption (Tier #)),2 private items carry the room as a property value
pseudo.pseudo_temple_explosives_room_2,Has Room: Demolition Lab (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_armour_room_2,Has Room: Armoury (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_weapon_room_2,Has Room: Arena of Valour (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_breeding_room_2,Has Room: Barracks (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_breach_room_2,Has Room: Breach Containment Chamber (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_gem_room_2,Has Room: Department of Thaumaturgy (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_currency_vault_2,Has Room: Treasury (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_trinket_room_2,Has Room: Jewellery Forge (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_workshop_2,Has Room: Engineering Department (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_empowering_room_2,Has Room: Sanctum of Unity (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 22 (Sanctum of Unity (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_healing_room_2,Has Room: Sanctum of Vitality (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_boss_minions_2,Has Room: Automaton Lab (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_boss_fire_2,Has Room: Omnitect Forge (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 14 (Omnitect Forge (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_boss_lightning_2,Has Room: Omnitect Reactor Plant (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 13 (Omnitect Reactor Plant (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_poison_room_3,Has Room: Toxic Grove (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_sacrifice_room_3,Has Room: Apex of Ascension (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)),3 private items carry the room as a property value
pseudo.pseudo_temple_storm_room_3,Has Room: Storm of Corruption (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 27 (Storm of Corruption (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_trap_room_3,Has Room: Defense Research Lab (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_cartography_room_3,Has Room: Atlas of Worlds (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_queens_chambers_3,Has Room: Throne of Atziri (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 24 (Throne of Atziri (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_chests_3,Has Room: Museum of Artefacts (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_corruption_room_3,Has Room: Locus of Corruption (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_explosives_room_3,Has Room: Shrine of Unmaking (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 23 (Shrine of Unmaking (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_armour_room_3,Has Room: Chamber of Iron (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_weapon_room_3,Has Room: Hall of Champions (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_breeding_room_3,Has Room: Hall of War (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_breach_room_3,Has Room: House of the Others (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 20 (House of the Others (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_gem_room_3,Has Room: Doryani's Institute (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_currency_vault_3,Has Room: Wealth of the Vaal (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 12 (Wealth of the Vaal (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_trinket_room_3,Has Room: Glittering Halls (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 29 (Glittering Halls (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_workshop_3,Has Room: Factory (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 11 (Factory (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_empowering_room_3,Has Room: Temple Nexus (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 9 (Temple Nexus (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_healing_room_3,Has Room: Sanctum of Immortality (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_boss_minions_3,Has Room: Hybridisation Chamber (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_boss_fire_3,Has Room: Crucible of Flame (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_boss_lightning_3,Has Room: Conduit of Lightning (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_chasm_room,Has Room: Chasm,field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_passageways,Has Room: Passageways,field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_halls,Has Room: Halls,field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_tunnels,Has Room: Tunnels,field,search/item-facts/data/properties-census.csv,properties-census.csv row 8 (Tunnels),2 private items carry the room as a property value
pseudo.pseudo_temple_the_pits,Has Room: Pits,field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_banquet_hall,Has Room: Banquet Hall,field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_tombs,Has Room: Tombs,field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_antechamber,Has Room: Antechamber,field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_cellar,Has Room: Cellar,field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_cloister,Has Room: Cloister,field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_torment_1,Has Room: Torment Cells (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_torment_2,Has Room: Torture Cages (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 17 (Torture Cages (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_torment_3,Has Room: Sadist's Den (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 26 (Sadist's Den (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_strongbox_1,Has Room: Strongbox Chamber (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_strongbox_2,Has Room: Hall of Locks (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 32 (Hall of Locks (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_temple_strongbox_3,Has Room: Court of Sealed Death (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_legion_1,Has Room: Hall of Mettle (Tier 1),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_legion_2,Has Room: Hall of Heroes (Tier 2),field,search/item-facts/data/properties-census.csv,properties-census.csv row 4 (Apex of Ascension (Tier #)) + row 6 (Open Rooms:),family: the room is a type-49 property value under Open Rooms:/Obstructed Rooms: (the entry's two options); this room name is absent from the corpus
pseudo.pseudo_temple_legion_3,Has Room: Hall of Legends (Tier 3),field,search/item-facts/data/properties-census.csv,properties-census.csv row 21 (Hall of Legends (Tier #)),1 private items carry the room as a property value
pseudo.pseudo_logbook_faction_druids,Has Logbook Faction: Druids of the Broken Circle,unresolved,,,capture an Expedition Logbook and check for a `logbookMods` array carrying the faction and area; field-census has no `logbookMods` row
pseudo.pseudo_logbook_faction_mercenaries,Has Logbook Faction: Black Scythe Mercenaries,unresolved,,,capture an Expedition Logbook and check for a `logbookMods` array carrying the faction and area; field-census has no `logbookMods` row
pseudo.pseudo_logbook_faction_order,Has Logbook Faction: Order of the Chalice,unresolved,,,capture an Expedition Logbook and check for a `logbookMods` array carrying the faction and area; field-census has no `logbookMods` row
pseudo.pseudo_logbook_faction_knights,Has Logbook Faction: Knights of the Sun,unresolved,,,capture an Expedition Logbook and check for a `logbookMods` array carrying the faction and area; field-census has no `logbookMods` row
pseudo.pseudo_logbook_area_battleground_graves,Has Logbook Area: Battleground Graves,unresolved,,,capture an Expedition Logbook and check for a `logbookMods` array carrying the faction and area; field-census has no `logbookMods` row
pseudo.pseudo_logbook_area_karui_wargraves,Has Logbook Area: Karui Wargraves,unresolved,,,capture an Expedition Logbook and check for a `logbookMods` array carrying the faction and area; field-census has no `logbookMods` row
pseudo.pseudo_logbook_area_bluffs,Has Logbook Area: Bluffs,unresolved,,,capture an Expedition Logbook and check for a `logbookMods` array carrying the faction and area; field-census has no `logbookMods` row
pseudo.pseudo_logbook_area_rotting_temple,Has Logbook Area: Rotting Temple,unresolved,,,capture an Expedition Logbook and check for a `logbookMods` array carrying the faction and area; field-census has no `logbookMods` row
pseudo.pseudo_logbook_area_shipwreck_reef,Has Logbook Area: Shipwreck Reef,unresolved,,,capture an Expedition Logbook and check for a `logbookMods` array carrying the faction and area; field-census has no `logbookMods` row
pseudo.pseudo_logbook_area_cemetery,Has Logbook Area: Cemetery,unresolved,,,capture an Expedition Logbook and check for a `logbookMods` array carrying the faction and area; field-census has no `logbookMods` row
pseudo.pseudo_logbook_area_sarn_slums,Has Logbook Area: Sarn Slums,unresolved,,,capture an Expedition Logbook and check for a `logbookMods` array carrying the faction and area; field-census has no `logbookMods` row
pseudo.pseudo_logbook_area_dried_riverbed,Has Logbook Area: Dried Riverbed,unresolved,,,capture an Expedition Logbook and check for a `logbookMods` array carrying the faction and area; field-census has no `logbookMods` row
pseudo.pseudo_logbook_area_mountainside,Has Logbook Area: Mountainside,unresolved,,,capture an Expedition Logbook and check for a `logbookMods` array carrying the faction and area; field-census has no `logbookMods` row
pseudo.pseudo_logbook_area_forest_ruins,Has Logbook Area: Forest Ruins,unresolved,,,capture an Expedition Logbook and check for a `logbookMods` array carrying the faction and area; field-census has no `logbookMods` row
pseudo.pseudo_logbook_area_desert_ruins,Has Logbook Area: Desert Ruins,unresolved,,,capture an Expedition Logbook and check for a `logbookMods` array carrying the faction and area; field-census has no `logbookMods` row
